"HolderAddress","Balance","PendingBalanceUpdate"
"0x0000000000000000000000000000000000000000","6466586.69782737","No"
"0x000000000000084e91743124a982076c59f10084","1E-09","No"
"0x00000000dc0e59517a8114348d9130e7d3835832","1E-09","No"
"0x001f20ee6f716a5597049e29047939187c712eaf","707.835687177","No"
"0x007376ef4b1409fd5ccc558bf1ba07293e813f7a","683.416663735","No"
"0x0178a929e24b3caea0f05ab4d20f611419177ed3","60241.178864597","No"
"0x01cb883da543bd8409a9984463b8ab3ae3d2ecd4","48674.275727604","No"
"0x01e1cab6974e0835b62f51756cd24db86984efb8","161.94093459","No"
"0x01ed60bf9086d1c7f84a9f42a88d00927b855629","392.52672995","No"
"0x01ee1e7f169b683976423e23dd9f7f87b428c924","0.000388306","No"
"0x01fff100b67ad851f787d22cd653b7f33288269f","0.127762812","No"
"0x024eb9dfdf404cf389487733d785cd9c8baeff8a","463.935041727","No"
"0x02da3f614f7b6235da576a294a997a494c3c3828","0.002028472","No"
"0x040ec2cda7755524720d021ae0d014904ecbb207","0.00017251","No"
"0x04308d226740631a6e426368c31f829c53a25211","291.840023402","No"
"0x0443990c4f81c3ae2ef88ce57394108385a274f7","144.555024572","No"
"0x04535a3fba42530698eccf83413fc9b237fad957","2210.327620624","No"
"0x048db1a781fa18daffc28200c3b1f396bfb2ab37","8940.818184141","No"
"0x04c872504d8bac012ed6e4f6ccc8f5042e84ee17","46.813632338","No"
"0x04dc9780c466a3587de9d1bad3991d3468c3d332","3583.398671719","No"
"0x04f6ad84ca1dcfaedc91815aaed7521153d53979","7884.378637998","No"
"0x05b0319c6f3aa8a895ca30b5eeb29657c1285983","0.012349721","No"
"0x0608491085e3f55e529a6215f48a277ef2acd631","92311.756491976","No"
"0x0618ff3d11ff4c92a1e465a57ad1265284a492e9","802.403154815","No"
"0x067ebd37dd83805dbf24cd1c44550825e06cc0d1","514.265700729","No"
"0x06c2af720b98a501ea7f18b061aa849c09b28b6e","2363.080494634","No"
"0x06e0b4e293cf4964169baf881cd21915fadd748f","3513.48857942","No"
"0x0729d1cc016cd1b5a33eab274195c6b93cf21e16","0.001706368","No"
"0x07b40f7bd3407c8f49500c441169c97981afabd9","749.947998905","No"
"0x0840661851621257a87803f1a1c76f290fbcb565","931.546920462","No"
"0x0902cef863ed1f6a3709e7b1cbef93b6819415bf","31458.722776004","No"
"0x09046ec8eacd29c9e65a1ea2bbee49ca21ca5a46","97.280007356","No"
"0x096a1f66828539858aa51e538728a956fee2c094","972.800260032","No"
"0x0996a14319aadb362faad78f94a535745def1fe0","0.00473402","No"
"0x0aa77cbbffa3b567fc5b67b5fccde7cdc79d1b1a","6192.276824304","No"
"0x0af033752b157b7ccfd0cb94e12b1f636a7e668a","32791.112451581","No"
"0x0af25a2663c8f662597ada6bd4c1ccee1d47d83d","0.021282394","No"
"0x0b0409a70a279dba59f07ebe4345aafc9c64154a","0.005204049","No"
"0x0bcd59f8deb55e80dcc988c427212fefe6ae0a1b","0.002295276","No"
"0x0ca93a852c78d94ca1c2a88a4871e0aa8cd997c3","1819.627769331","No"
"0x0cac9c3d7196f5bbd76fadcd771fb69b772c0f9d","56158.262492725","No"
"0x0cbdd0117ab036170e6f449c7019b543a04879c3","295.777642632","No"
"0x0d0542840f0a831ab16cc71932001617d6d88588","37815.877300298","No"
"0x0d2c20d369c745b5e5da72bc1921fa4e59f7f6e3","3598.043744892","No"
"0x0d60f02f0004f8ba0a747164873fd588c56c0e19","154.831706013","No"
"0x0ea83ae45012328d08e5782a9ac5288305a5e514","0.000248827","No"
"0x0fd73ea2391d2ee5806a15a22e67d583a403409b","1398.141116371","No"
"0x0fdb6cbf800a71d7c6ebfce67c069c5c64121ff4","0.02749409","No"
"0x0ff6885d39d5aa644807f870fe7cab11d9efb7a0","2087.300016711","No"
"0x1013a96f5b295a64749e51a3b897c60bc5bb30bf","7071.231032689","No"
"0x10badfeff12424193cd322a2ffcfa283426c0512","964.2089454","No"
"0x114264f458ac93c7833fe5f4733829965fc0899b","0.001913642","No"
"0x116a0bd45575719711804276b6d92226017d37b9","0.060393846","No"
"0x119e175146020f51dcb4b56336b422925655e972","53.515009933","No"
"0x11b1785d9ac81480c03210e89f1508c8c115888e","860.769325934","No"
"0x11e00180f01a0a002ce4d928a7f93f56c27d6016","1659.105224812","No"
"0x11ef687cfeb2e353670479f2dcc76af2bc6b3935","486.500367715","No"
"0x121dbd0b49d9760e3f2a8a91794ddfa4f0d1a35c","4865.024068264","No"
"0x12292143b2eafda2470a14c60361c57f78d8afaf","797.861253424","No"
"0x1254831edf905e4e0224e90181e87dce6b8bcba0","203.341574882","No"
"0x12a816b47f531f5640a4ecdc569a081ffb527ad8","0.002244665","No"
"0x12d0b1ae5c8d7daea20182a072b2212cedb95952","4116.234181505","No"
"0x12f90e39993f2165f1ead67a10c54ddd452dac64","0.012973241","No"
"0x1317f65f9d787ce649450e4f57e251a3588c4593","3063.010719095","No"
"0x1337ab726c00539a6c5bbeed7314462fa5720b21","3404.830885684","No"
"0x13b33247d118bf5ac2ea46dc3ce5ad15a854d923","526.701551538","No"
"0x13b3a50f3947476eda74fe191344524e2d2d28e5","9282.908341486","No"
"0x1432c90c3b951ac8410d05843831dab49fd766fc","5.8961E-05","No"
"0x14c2a505a677f48742c271d8e772763852e84b16","2376.326942653","No"
"0x14cab1a7b5fe7a2473a2dd82de32e4c94cbae63e","38615.714129105","No"
"0x14d7426997a2c5ac609906a964b4afdc6275652b","612.992882991","No"
"0x14f4785e5f8738eb589eb0bf9edc6a5f86755944","165.43834277","No"
"0x156fe1286b7d94420dd99a257c8ee09cde8c0176","25534.092605688","No"
"0x15caac6fd6517a6e1deb8a888b53299418b07454","2042.179587536","No"
"0x15e476621a3d8e9d21d98f8d44654bcce97102d7","1773.661713021","No"
"0x16b3c5fe75b40d969a3761c183d6c136e7b6158b","0.000851378","No"
"0x16c82c25a72a0885308bedb07e496f51c2978d69","2083.693994251","No"
"0x1772ff2efff8b0b8e1e51d30fa972201c01dd466","0.071292785","No"
"0x183281aea9071fdc274742a4ad7cd02e3e41a8b5","3940.021228746","No"
"0x186c20652a42ec20a9d9bf8937a91addbb01b911","0.000933691","No"
"0x18a2bceb4871a3b07234063fe82753e9e1684161","77.761916952","No"
"0x18c34172dce897449511f456816ce219c16b3418","914.436612942","No"
"0x1965bf52d4f8f886e891be0d91324c729cf199e5","33195.776897885","No"
"0x1986c279a33cc7088303c2bc364641a3f72fd6cb","247.6804268","No"
"0x199c92538e4946451c2b2bca3c0f5722e008615f","5665.3223285","No"
"0x19eba7ec8ddcccf1882f18b3246d51e8aa522920","164.81103503","No"
"0x1a8dcb3775aa442b8815e5aeaae138cca522631a","0.003956354","No"
"0x1b63ca27c1911d89e6db6ad8049e49d2ebd042d9","1680","No"
"0x1b739d7d7833e1b657a1719acf5776b7664e89bb","0.001032538","No"
"0x1c04a294bd2fdaf52f29d3da100308e8e85816a6","142.020191038","No"
"0x1c22f1b075d202bff2f25afba758ada69516b659","2998.793527711","No"
"0x1c5cba7f39e942c03f8b09533bd8d5028698437c","0.003495453","No"
"0x1c5f7635a4a302d72e652486907051f84cd55005","678.370786231","No"
"0x1ca48a32482ef29708e95f248e8a613f05782ed3","12632.597319212","No"
"0x1cbefae3e2bc352ce595769f833c6f67048a1054","4.823508861","No"
"0x1d55671dfe2d326107f2eca86a680a7449c5276e","237.166817003","No"
"0x1d7947ab841c6f68b27eb1ad0848ea79457e465d","4557.214365919","No"
"0x1d8e3d2df6720f636e32b86f426250705f273d79","21000.243381821","No"
"0x1e022fe7ec25d21d2af2aa17f7275abd6b22a438","583.680093611","No"
"0x1e1f00c4e4a9e7947439547e94fd59bc1c393774","14395.971166095","No"
"0x1f09f3157e0d88b877c68de480e8158e4ce33cb4","22789.890430641","No"
"0x1f34550a04b0353e8f4d0fa075d65eeaea388a71","1702.751629721","No"
"0x1f5c8c922b89c524944ea488881d7b75352c1fd5","1029.269135054","No"
"0x20314472378e8d96899bba5681604de121130324","888.684627203","No"
"0x20da92e7d88eb154e7efa1216ef728c45e65d7ac","18761.694032791","No"
"0x20e0e86d92cc1a6ab6aa3c1b7b28760477a8d29b","1572.552118522","No"
"0x215b6f762c17c2d08ede387650e045e134a15f57","0.261420271","No"
"0x217bc9ebd4027d6c135ddfd85d518857679aa8a2","376.607144011","No"
"0x218f53fdf2f3831d23eb1caf6d1096edc161c77f","0.006722221","No"
"0x224364ca7d204bfcc85f3e2dbf1efa170389c7cf","8505.313903633","No"
"0x23324ed44904260fe555b18e5ba95c6030b9227d","24955.683289965","No"
"0x237af3c5fd488269f0812409a4b111c922e7ee88","0.000413776","No"
"0x23ab1dd0171ea56ad5631f1446ed147c23fa8860","0.098016423","No"
"0x23cd6833ba8f6032e696b07731aca4d67986bf2a","0.001671858","No"
"0x244ffd3d489706775ddc55b40a5ea2018deee0c8","1231.040607635","No"
"0x2591e2aaae60994181c877aed923cd70330557dd","48.650004004","No"
"0x25dbeb6565778b8570f8936165370348f16e7e88","1691.397792077","No"
"0x25fde884481597170e21ceba0e2046590ca6b312","48.59840099","No"
"0x269d9c63a987ef931cffff1080927e7df3d3a9dc","2.402157865","No"
"0x2721f53958f0eb3dde0bdba137e4357cc061ba8e","3395.082228558","No"
"0x2731de8b5d5d88ddcfe8057b639cb71e5f6f9b2b","84385.65124794","No"
"0x28b37d7f235fe68cf073beb87e78978bc38eecba","535.150160976","No"
"0x29477a93e19f6c0469cb90bfd96123c6646ab443","8563.965410657","No"
"0x294803520a1e7b671c105c8a3d94836f40b2b557","1782.358863656","No"
"0x297da3d7a7cd85f4269af5b799726ca971a06445","2481.744205335","No"
"0x2a1153f6f840b1dc012851e30f40040ab101c2d9","2244.860257142","No"
"0x2a3c38278133bc9bd21d45f7974b9fc73b6412ef","0.297916211","No"
"0x2a469296c6d10a6496bf145853933a73913eae32","2880.897554801","No"
"0x2a6c2299496c90379b754db23537fc073f1bb70e","109.549142382","No"
"0x2ab822310dc5726ebf17dcfa0b91a3b3adc8d1ff","181.977034381","No"
"0x2b0131b17e5ad71e9c85a36ceb688848b023ed60","0.074012583","No"
"0x2b024481fdd624929e5cef8c99c6aadb010d3f85","0.002346636","No"
"0x2b4e8b66df5a557fce7fa528e1a58064aa0b37df","12524.747916646","No"
"0x2b92d12d8cc0b9af862451393925092c6c21a611","551.63072689","No"
"0x2b99842c8f402d8196823dd77be140de0f421169","1.217428451","No"
"0x2bb83c17807f14ed351b3d0f30d2069b44067c9b","2459.133870989","No"
"0x2c50136ddecadc127a747f6f41ed1d0a57b0b8b3","1780.453847593","No"
"0x2c8103130fa24fc35540de33db777f6895fa228d","3691.411477022","No"
"0x2cb3ffa9c8880e3ebd3ff98654e2c0686c4de4b7","1041.112602182","No"
"0x2d15e924a8f226d71c6032eeb763831a8c7b1e71","0.054781289","No"
"0x2d82a31458a8dccf68d47b47c43732b6b02398e5","752.269447025","No"
"0x2dcb3b2f61095860d6309af9f7dff95f5261982b","0.70475984","No"
"0x2df367bab7706799bbd215e5a68c9ac7a5da7ad2","0.000781173","No"
"0x2df3b7c84410e3b840dcc7ac43e9e85b4a9736a3","0.006359642","No"
"0x2e4acd4d8051b9d4febdad7e2182f6a1fc4b16e2","205230.547464272","No"
"0x2eb6e4035941e1bff2b880b263659ef95c41f39b","2026.977304527","No"
"0x2ebe7fc13ae73d0b1ca761484044ac36030e9769","0.035967809","No"
"0x2f07588468acf47942e70e25d978f677989f0408","1.163826374","No"
"0x2f139371f5d7ceeb0b83df17086c6fe44132058d","3742.576875181","No"
"0x2f5947a91da9dfcf6cc2e5a2a60ae087a540c3d2","4005.507055316","No"
"0x2f605a73133e7f27d30b176de378f0d24638a137","0.002664435","No"
"0x2ffb0ef286951e58e392f81e3cbdc769eb3ea30d","3591.703300106","No"
"0x3056bd9ab17c58129455fd0d646b28108c3e1aa7","0.000632221","No"
"0x306419197534cc5bd4ee7693c716096a1486a071","12289.496003236","No"
"0x3064984e7d4a98697d74ab11b8c8bb56f22cdc87","0.007735653","No"
"0x306517609fa36731af2ac4fb422f9ae89421ddbb","3389.890025026","No"
"0x308c6bd52a247e367e315f081b9866ee62150eb2","6521.915150068","No"
"0x308d8ab4da3422764b1892fe19c4e95b54d65a19","9788.822262644","No"
"0x31249dfd269497cc77a95f804a6ae6da6cfa7b3c","1.614511555","No"
"0x31b936c6f2bda6add4c7b6435b05769f6b69295d","0.32602653","No"
"0x320408feb1e086b1fbd27c598a735699ea10bd9a","0.015218646","No"
"0x324151fd0be17516708ad9e9156dbd0409d6861c","333.181696146","No"
"0x331267b9b0bdeaf14fa8f1fa96558f5680e84986","11187.234389385","No"
"0x333c2286deb06ea4467350cb3dc3dd39a668181a","0.004430903","No"
"0x33683ffabed9c73cf44a3edbf2e72bb53466d12d","0.007671258","No"
"0x33b74799a4ddfd155498d1e531f74d9541e0123b","1945.658088551","No"
"0x33c92751c26b73f2d90e18465e9bf6e51cbbb14f","710.390116666","No"
"0x33da71b6849fa95425a0054139e0b892e3458bcf","0.000104551","No"
"0x34113d7a4472234d91588448db8e255bc28c25c2","0.009893055","No"
"0x34d9c93d89bcd348da8dd5f243d5403aa5eec75f","363.461229636","No"
"0x34dc37c5ad0bf60ee11fb818384851fe8638e12b","3370.212075079","No"
"0x354613958683646ca01fc2398dbf70490b337d46","6041.27337681","No"
"0x355c1cf73c2c1d0193b0dac92863d5f254a3e83d","389.16175369","No"
"0x358462f384fdf46bb4632a8814d68278439624d6","0.066891752","No"
"0x358b807d67000c19fc901e82f178286698701317","973.000532153","No"
"0x35a1be7e44ae96034b5b7726a27131ba31bb7f41","4009.822903882","No"
"0x362eccdadc0260f30f90dbe18417ed756b3589c0","0.003065555","No"
"0x36633aefb6f649341bd24bd6a6966d3fc30e505b","1751.401724178","No"
"0x36734fad014e5c1a692aaec76c19ea0cd90dff49","0.783355205","No"
"0x368a2d5cd67bb2c4c742d9482aa09f3126aa0f52","68683.18303453","No"
"0x370b05b98494ce96f3e6fdde317401dcd245b230","0.002726115","No"
"0x3733293e26ab115cf1f9508795bb5d89c8c61510","524.578150519","No"
"0x3740c412f538782e4537090c48db038e491932d4","0.029581886","No"
"0x37a48def40a6e4b98c0e5975336883825bcdd170","1946.002128615","No"
"0x382927ef5b024ac58c3f304125bfb51ef93c624a","311.296026627","No"
"0x38400b6bbd2b19d7b4a4c3559bcbb0fe1ef45ec3","7022.876360294","No"
"0x3889931763a3852644caacbec22ad3e18a8577c3","449.444749349","No"
"0x389e30302a6dff422a3bcd713a1c98f5d0f6ef5f","0.013365528","No"
"0x38fffdcab90891d776342272b6e33b8cafecac3d","888.345957717","No"
"0x3906b3ab3add00af4c885900c3a3b70a2b447e4c","21077.454766693","No"
"0x3a45468c2b85a969ab3999f9b286da9bab226709","37565.451863114","No"
"0x3a481cf698982507f8613a7af763a93382ee4910","367.029368658","No"
"0x3b1071cf48e0a0001669db554a07cbae94b77f20","0.01672658","No"
"0x3b6ecdc2cc758aaddb5ff2fe46836d6523af3a52","77.824001664","No"
"0x3bf51adca12b11f24aec6a9479bfdf5053dac12c","27206.499202478","No"
"0x3c1373b1f4667fc6350379a40fa5e4b663494fed","0.316475024","No"
"0x3c42c9df2bb1bb114f404ae16fdad203b48f4199","4409.468306496","No"
"0x3cd19fce3d523de31aa319ee3723dd5499e38879","995.409870184","No"
"0x3d27da3baee6ea47df217b96f00f4ecc56a6c379","0.01721808","No"
"0x3d6cac9a1c59c253befeb896caf2df1f22a08171","0.000461128","No"
"0x3d786d5444eb16da8ebd165ef3135b708f2c0822","0.298306958","No"
"0x3d87d2f3fafea9d592c6658a68fd57ae44316b9a","9.467804512","No"
"0x3db416f4bc5e8f447b346044a72512de7f4af4d7","909.284947023","No"
"0x3dccd3bd797061cadffab6f195123e590628d560","81.30260862","No"
"0x3e278557e4e47815aa25de5d83e264e34b977b4c","0.115552109","No"
"0x3e7e73edd631c9f7f41c269e14645b455835928d","47.238464523","No"
"0x3edf02f29bbf09995d548458c4bb7b0e389ebfb2","0.003610168","No"
"0x3f310f4942c28ec0b0d1f5e9f10faef5801bc3e6","0.000999071","No"
"0x3f47ae21d98d623957bb60551b0d504bab04623d","0.001210047","No"
"0x3f4c81bb05e8056ad609091f3e4821e0df8cbf05","0.383148397","No"
"0x3f6284cd9d7c99cbee729459704474154ef205d0","7455.060341178","No"
"0x3f657f09ccdc1477c387e9a220d9356925147ff5","2099.456273267","No"
"0x408b8ce4fe17305724c20398a1c912e92236cd3f","0.065029983","No"
"0x40aea19309a630db8c15ca278d9d40d4b32a3d28","10002.061421286","No"
"0x410a6c7d7e4bdf6b6e8a63614c8ff30bb24fd72d","232.643389971","No"
"0x410a81d6bdc93393c9c535b3f366f361845830c8","319.315573707","No"
"0x410aad3500134445514e92a83dea68cc8b47e005","7231.396182404","No"
"0x4110eaea3238a43ae51f008605f3b374e5c51ebf","0.055231428","No"
"0x419cf603c2564fd654babff8e7f7d09e105ec0fd","384.46065937","No"
"0x41ebc76db2ab4d15741d65ccacf96c3b0e51fa93","223.79008474","No"
"0x4202c5aa18c934b96bc4aedb3da4593c44076618","0.394661467","No"
"0x426d38e322fdded7031284f07caaa7d6dab83aee","1775.604483573","No"
"0x4297e08ee25a9eed190d4840c490bbf2332f22b0","0.007028843","No"
"0x429a635ed4daf9529c07d5406d466b349ec34361","2644.290232691","No"
"0x42eaf8b6bbeac348908d7781a4b0ba1787fca1e4","200005.664813743","No"
"0x4307e28901f2c8010bf257f14ff5526d9c0e0ebc","47555.231464023","No"
"0x431609225691b672a6570ac6db32d885cc40f0ba","468.555407534","No"
"0x432be6f0b96871857a4de5d95f94b1a7a8a94474","4326.311978904","No"
"0x432ff5cca84d98ebe68e85416b9a42dc5dd9fc23","86611.234201814","No"
"0x436b72cd2bc5812b8d9e6e5bd450613f7e2cb70b","2854.754138178","No"
"0x438abb8db93d6842dad49dbd45c25ea3f9363c4c","291.901703093","No"
"0x43ca65e6ce1844815b868438ec417186922d8a35","525.420298857","No"
"0x43de5df2fe637bd8fb149490d39aaf21c311d5a7","19600.86382324","No"
"0x442747e725d0e1d1fe46c3635f8e01253b6d1ec7","48630.148902107","No"
"0x448749280160d2126053330fa7a18f893943c455","0.208064698","No"
"0x454bb0ce73196c9e247d38b2effc487a631046b3","0.005115164","No"
"0x459b3edb577cb0b25c6c9ae94510900b4a008931","0.078448524","No"
"0x45aee0c2d6cf993d532c55a60a5cf2833e7cd97a","0.023969224","No"
"0x45bc508822a92ba95a1371c743f785c574920069","20001.184176397","No"
"0x45e294132f31fe2060e2a1266a89a4596e9a19d9","0.092431686","No"
"0x45f21b16088c13a58f930d0cc778470bf2c357b9","0.175446229","No"
"0x46917890a173a6c119f172aac9bf65a2e9a2e6a7","432.371907114","No"
