"HolderAddress","Balance","PendingBalanceUpdate"
"0x0000000000000000000000000000000000000000","6466586.69782737","No"
"0x000000000000084e91743124a982076c59f10084","1E-09","No"
"0x00000000dc0e59517a8114348d9130e7d3835832","1E-09","No"
"0x007376ef4b1409fd5ccc558bf1ba07293e813f7a","683.416663735","No"
"0x0178a929e24b3caea0f05ab4d20f611419177ed3","43333.778129877","No"
"0x01cb883da543bd8409a9984463b8ab3ae3d2ecd4","2502.712042551","No"
"0x01ed60bf9086d1c7f84a9f42a88d00927b855629","392.52672995","No"
"0x01fff100b67ad851f787d22cd653b7f33288269f","0.864344727","No"
"0x024eb9dfdf404cf389487733d785cd9c8baeff8a","463.935041727","No"
"0x027f6d794a1a48cd19c94dcfbd43d1c5ffcfcb6c","1000.956372488","No"
"0x02da3f614f7b6235da576a294a997a494c3c3828","0.002028472","No"
"0x040ec2cda7755524720d021ae0d014904ecbb207","0.00017251","No"
"0x0443990c4f81c3ae2ef88ce57394108385a274f7","1764.362956754","No"
"0x04535a3fba42530698eccf83413fc9b237fad957","2210.327620624","No"
"0x04dc9780c466a3587de9d1bad3991d3468c3d332","221.957834601","No"
"0x04f6ad84ca1dcfaedc91815aaed7521153d53979","7884.378637998","No"
"0x05b0319c6f3aa8a895ca30b5eeb29657c1285983","0.012349721","No"
"0x0608491085e3f55e529a6215f48a277ef2acd631","92311.756491976","No"
"0x067ebd37dd83805dbf24cd1c44550825e06cc0d1","0.002789202","No"
"0x06c2af720b98a501ea7f18b061aa849c09b28b6e","2363.080494634","No"
"0x06e0b4e293cf4964169baf881cd21915fadd748f","780.988928484","No"
"0x0729d1cc016cd1b5a33eab274195c6b93cf21e16","0.001706368","No"
"0x081b68ff923749db69dad71b0a130377a01e4944","118.447132502","No"
"0x0840661851621257a87803f1a1c76f290fbcb565","931.546920462","No"
"0x0902cef863ed1f6a3709e7b1cbef93b6819415bf","1777.596125744","No"
"0x0996a14319aadb362faad78f94a535745def1fe0","0.00473402","No"
"0x0af033752b157b7ccfd0cb94e12b1f636a7e668a","2140.607753177","No"
"0x0af25a2663c8f662597ada6bd4c1ccee1d47d83d","0.021282394","No"
"0x0b0409a70a279dba59f07ebe4345aafc9c64154a","0.005204049","No"
"0x0bcd59f8deb55e80dcc988c427212fefe6ae0a1b","12113.171269437","No"
"0x0ca93a852c78d94ca1c2a88a4871e0aa8cd997c3","1819.627769331","No"
"0x0cac9c3d7196f5bbd76fadcd771fb69b772c0f9d","56158.262492725","No"
"0x0cbdd0117ab036170e6f449c7019b543a04879c3","295.777642632","No"
"0x0d2c20d369c745b5e5da72bc1921fa4e59f7f6e3","1462.383751996","No"
"0x0d60f02f0004f8ba0a747164873fd588c56c0e19","154.831706013","No"
"0x0ea83ae45012328d08e5782a9ac5288305a5e514","0.000248827","No"
"0x0fd73ea2391d2ee5806a15a22e67d583a403409b","1398.141116371","No"
"0x0fdb6cbf800a71d7c6ebfce67c069c5c64121ff4","0.02749409","No"
"0x1013a96f5b295a64749e51a3b897c60bc5bb30bf","7071.231032689","No"
"0x10badfeff12424193cd322a2ffcfa283426c0512","964.2089454","No"
"0x114264f458ac93c7833fe5f4733829965fc0899b","665.608263524","No"
"0x116a0bd45575719711804276b6d92226017d37b9","0.060393846","No"
"0x119e175146020f51dcb4b56336b422925655e972","53.515009933","No"
"0x11b1785d9ac81480c03210e89f1508c8c115888e","1121.814287773","No"
"0x11ef687cfeb2e353670479f2dcc76af2bc6b3935","486.500367715","No"
"0x121dbd0b49d9760e3f2a8a91794ddfa4f0d1a35c","4865.024068264","No"
"0x1254831edf905e4e0224e90181e87dce6b8bcba0","203.341574882","No"
"0x12a816b47f531f5640a4ecdc569a081ffb527ad8","0.002244665","No"
"0x12d0b1ae5c8d7daea20182a072b2212cedb95952","1029.905139034","No"
"0x12f90e39993f2165f1ead67a10c54ddd452dac64","0.012973241","No"
"0x1317f65f9d787ce649450e4f57e251a3588c4593","3063.010719095","No"
"0x13b3a50f3947476eda74fe191344524e2d2d28e5","9282.908341486","No"
"0x1432c90c3b951ac8410d05843831dab49fd766fc","5.8961E-05","No"
"0x14c2a505a677f48742c271d8e772763852e84b16","2376.326942653","No"
"0x14d7426997a2c5ac609906a964b4afdc6275652b","612.992882991","No"
"0x14f4785e5f8738eb589eb0bf9edc6a5f86755944","165.43834277","No"
"0x156fe1286b7d94420dd99a257c8ee09cde8c0176","12187.75470623","No"
"0x15caac6fd6517a6e1deb8a888b53299418b07454","2042.179587536","No"
"0x16b3c5fe75b40d969a3761c183d6c136e7b6158b","0.000851378","No"
"0x16c82c25a72a0885308bedb07e496f51c2978d69","0.000521868","No"
"0x1772ff2efff8b0b8e1e51d30fa972201c01dd466","6029.351627663","No"
"0x186c20652a42ec20a9d9bf8937a91addbb01b911","0.000933691","No"
"0x18a2bceb4871a3b07234063fe82753e9e1684161","77.761916952","No"
"0x199c92538e4946451c2b2bca3c0f5722e008615f","2651.95752302","No"
"0x19eba7ec8ddcccf1882f18b3246d51e8aa522920","164.81103503","No"
"0x1a8dcb3775aa442b8815e5aeaae138cca522631a","0.003956354","No"
"0x1b63ca27c1911d89e6db6ad8049e49d2ebd042d9","1680","No"
"0x1b739d7d7833e1b657a1719acf5776b7664e89bb","0.001032538","No"
"0x1c04a294bd2fdaf52f29d3da100308e8e85816a6","142.020191038","No"
"0x1c5cba7f39e942c03f8b09533bd8d5028698437c","0.003495453","No"
"0x1c5f7635a4a302d72e652486907051f84cd55005","678.370786231","No"
"0x1ca48a32482ef29708e95f248e8a613f05782ed3","10757.501740212","No"
"0x1cbefae3e2bc352ce595769f833c6f67048a1054","4.823508861","No"
"0x1d55671dfe2d326107f2eca86a680a7449c5276e","237.166817003","No"
"0x1d7947ab841c6f68b27eb1ad0848ea79457e465d","4557.214365919","No"
"0x1d8e3d2df6720f636e32b86f426250705f273d79","21000.243381821","No"
"0x1dbdf00f9626fec10c4823230eed9c8882a005bd","2000.002191005","No"
"0x1e1f00c4e4a9e7947439547e94fd59bc1c393774","8558.28109816","No"
"0x1f2c629f2f4fb2c57cb73a065565f27b57fc082f","354.022816154","No"
"0x1f34550a04b0353e8f4d0fa075d65eeaea388a71","1702.751629721","No"
"0x205b7b1daee38c4744c6f0b782e27bca286c23db","12834.637453418","No"
"0x20da92e7d88eb154e7efa1216ef728c45e65d7ac","18761.694032791","No"
"0x20e0e86d92cc1a6ab6aa3c1b7b28760477a8d29b","1572.552118522","No"
"0x215b6f762c17c2d08ede387650e045e134a15f57","0.261420271","No"
"0x217bc9ebd4027d6c135ddfd85d518857679aa8a2","376.607144011","No"
"0x218f53fdf2f3831d23eb1caf6d1096edc161c77f","0.006722221","No"
"0x224364ca7d204bfcc85f3e2dbf1efa170389c7cf","8505.313903633","No"
"0x23324ed44904260fe555b18e5ba95c6030b9227d","3503.001945951","No"
"0x237af3c5fd488269f0812409a4b111c922e7ee88","1066.417902694","No"
"0x23ab1dd0171ea56ad5631f1446ed147c23fa8860","78085.295159964","No"
"0x23cd6833ba8f6032e696b07731aca4d67986bf2a","0.001671858","No"
"0x244ffd3d489706775ddc55b40a5ea2018deee0c8","1231.040607635","No"
"0x24ed3b0c0a1cb8fece7e3a25a34e86613234dd04","2083.931693957","No"
"0x2591e2aaae60994181c877aed923cd70330557dd","48.650004004","No"
"0x259fc4d1285ec2fa46b768dd1de77a929e7bd15b","31791.552557624","No"
"0x25fde884481597170e21ceba0e2046590ca6b312","48.59840099","No"
"0x2721f53958f0eb3dde0bdba137e4357cc061ba8e","3395.082228558","No"
"0x2731de8b5d5d88ddcfe8057b639cb71e5f6f9b2b","1.026940164","No"
"0x28a2a52105cdd5591d875df7cc9cb4aca5a04a1c","390.333985767","No"
"0x28af4119d7184dc88a2eb19a2b0b87754afe7d61","3453.117477336","No"
"0x28b37d7f235fe68cf073beb87e78978bc38eecba","535.150160976","No"
"0x29477a93e19f6c0469cb90bfd96123c6646ab443","14371.549694301","No"
"0x297da3d7a7cd85f4269af5b799726ca971a06445","2481.744205335","No"
"0x2a3c38278133bc9bd21d45f7974b9fc73b6412ef","0.297916211","No"
"0x2a469296c6d10a6496bf145853933a73913eae32","2880.897554801","No"
"0x2a6c2299496c90379b754db23537fc073f1bb70e","109.549142382","No"
"0x2ab822310dc5726ebf17dcfa0b91a3b3adc8d1ff","181.977034381","No"
"0x2b0131b17e5ad71e9c85a36ceb688848b023ed60","0.074012583","No"
"0x2b024481fdd624929e5cef8c99c6aadb010d3f85","0.000318039","No"
"0x2b4e8b66df5a557fce7fa528e1a58064aa0b37df","12524.747916646","No"
"0x2b99842c8f402d8196823dd77be140de0f421169","1.217428451","No"
"0x2ba105912097cb98327a8a9ea16c5ab139e11bc9","1507.856550699","No"
"0x2bb83c17807f14ed351b3d0f30d2069b44067c9b","2459.133870989","No"
"0x2bd541d5d53bd0ddbd34f54efdfbdffc96814074","5841.022532254","No"
"0x2c50136ddecadc127a747f6f41ed1d0a57b0b8b3","2032.008463406","No"
"0x2c6e9afa00b720a21dee37e4fc5ae7e42c6437ef","6050.994301347","No"
"0x2cb3ffa9c8880e3ebd3ff98654e2c0686c4de4b7","1041.112602182","No"
"0x2d15e924a8f226d71c6032eeb763831a8c7b1e71","0.054781289","No"
"0x2d82a31458a8dccf68d47b47c43732b6b02398e5","752.269447025","No"
"0x2dcb3b2f61095860d6309af9f7dff95f5261982b","0.70475984","No"
"0x2df367bab7706799bbd215e5a68c9ac7a5da7ad2","0.000781173","No"
"0x2e4acd4d8051b9d4febdad7e2182f6a1fc4b16e2","80002.474071107","No"
"0x2e604e03d0b90e8aa058bb8bb6313e749606832c","3892.052542709","No"
"0x2ebe7fc13ae73d0b1ca761484044ac36030e9769","0.035967809","No"
"0x2ef3c126ee6a25d0330038bb4c37b52a80c51158","6420.617320048","No"
"0x2f07588468acf47942e70e25d978f677989f0408","1.163826374","No"
"0x2f139371f5d7ceeb0b83df17086c6fe44132058d","3742.576875181","No"
"0x2f5947a91da9dfcf6cc2e5a2a60ae087a540c3d2","1765.214472372","No"
"0x2f605a73133e7f27d30b176de378f0d24638a137","0.002664435","No"
"0x2ffb0ef286951e58e392f81e3cbdc769eb3ea30d","1109.000334067","No"
"0x3006ff2934212fc3ff3533308ef339d11c23ae2e","2614.110883442","No"
"0x3056bd9ab17c58129455fd0d646b28108c3e1aa7","752.291320113","No"
"0x306419197534cc5bd4ee7693c716096a1486a071","3988.35086652","No"
"0x3064984e7d4a98697d74ab11b8c8bb56f22cdc87","0.007735653","No"
"0x308c6bd52a247e367e315f081b9866ee62150eb2","6521.915150068","No"
"0x31249dfd269497cc77a95f804a6ae6da6cfa7b3c","1.614511555","No"
"0x31b936c6f2bda6add4c7b6435b05769f6b69295d","0.32602653","No"
"0x320408feb1e086b1fbd27c598a735699ea10bd9a","0.015218646","No"
"0x324151fd0be17516708ad9e9156dbd0409d6861c","333.181696146","No"
"0x333c2286deb06ea4467350cb3dc3dd39a668181a","0.004430903","No"
"0x33683ffabed9c73cf44a3edbf2e72bb53466d12d","1059.787637903","No"
"0x33c92751c26b73f2d90e18465e9bf6e51cbbb14f","710.390116666","No"
"0x33da71b6849fa95425a0054139e0b892e3458bcf","0.000104551","No"
"0x34113d7a4472234d91588448db8e255bc28c25c2","0.009893055","No"
"0x355c1cf73c2c1d0193b0dac92863d5f254a3e83d","139.144318204","No"
"0x358462f384fdf46bb4632a8814d68278439624d6","0.066891752","No"
"0x358b807d67000c19fc901e82f178286698701317","973.000532153","No"
"0x35a1be7e44ae96034b5b7726a27131ba31bb7f41","1459.501197346","No"
"0x362eccdadc0260f30f90dbe18417ed756b3589c0","1276.670990349","No"
"0x36633aefb6f649341bd24bd6a6966d3fc30e505b","1751.401724178","No"
"0x36734fad014e5c1a692aaec76c19ea0cd90dff49","0.783355205","No"
"0x368a2d5cd67bb2c4c742d9482aa09f3126aa0f52","11275.079908091","No"
"0x370b05b98494ce96f3e6fdde317401dcd245b230","0.002726115","No"
"0x3733293e26ab115cf1f9508795bb5d89c8c61510","524.578150519","No"
"0x3740c412f538782e4537090c48db038e491932d4","149.814224882","No"
"0x37a48def40a6e4b98c0e5975336883825bcdd170","1946.002128615","No"
"0x3889931763a3852644caacbec22ad3e18a8577c3","449.444749349","No"
"0x389e30302a6dff422a3bcd713a1c98f5d0f6ef5f","0.013365528","No"
"0x38fffdcab90891d776342272b6e33b8cafecac3d","888.345957717","No"
"0x3906b3ab3add00af4c885900c3a3b70a2b447e4c","21077.454766693","No"
"0x3a45468c2b85a969ab3999f9b286da9bab226709","0.074556925","No"
"0x3a481cf698982507f8613a7af763a93382ee4910","367.029368658","No"
"0x3b1071cf48e0a0001669db554a07cbae94b77f20","0.01672658","No"
"0x3bf51adca12b11f24aec6a9479bfdf5053dac12c","27206.499202478","No"
"0x3c1373b1f4667fc6350379a40fa5e4b663494fed","0.316475024","No"
"0x3c42c9df2bb1bb114f404ae16fdad203b48f4199","4409.468306496","No"
"0x3d27da3baee6ea47df217b96f00f4ecc56a6c379","0.01721808","No"
"0x3d786d5444eb16da8ebd165ef3135b708f2c0822","0.298306958","No"
"0x3d87d2f3fafea9d592c6658a68fd57ae44316b9a","9.467804512","No"
"0x3db416f4bc5e8f447b346044a72512de7f4af4d7","909.284947023","No"
"0x3dccd3bd797061cadffab6f195123e590628d560","81.30260862","No"
"0x3e278557e4e47815aa25de5d83e264e34b977b4c","0.115552109","No"
"0x3edf02f29bbf09995d548458c4bb7b0e389ebfb2","0.003610168","No"
"0x3f310f4942c28ec0b0d1f5e9f10faef5801bc3e6","0.000999071","No"
"0x3f47ae21d98d623957bb60551b0d504bab04623d","0.001210047","No"
"0x3f4c81bb05e8056ad609091f3e4821e0df8cbf05","0.383148397","No"
"0x3f6284cd9d7c99cbee729459704474154ef205d0","7455.060341178","No"
"0x3f657f09ccdc1477c387e9a220d9356925147ff5","2099.456273267","No"
"0x408b8ce4fe17305724c20398a1c912e92236cd3f","3427.230967825","No"
"0x40aea19309a630db8c15ca278d9d40d4b32a3d28","11804.025921715","No"
"0x410a6c7d7e4bdf6b6e8a63614c8ff30bb24fd72d","101.514824307","No"
"0x410a81d6bdc93393c9c535b3f366f361845830c8","319.315573707","No"
"0x410aad3500134445514e92a83dea68cc8b47e005","7231.396182404","No"
"0x4110eaea3238a43ae51f008605f3b374e5c51ebf","8628.1158141","No"
"0x419cf603c2564fd654babff8e7f7d09e105ec0fd","384.46065937","No"
"0x41ebc76db2ab4d15741d65ccacf96c3b0e51fa93","223.79008474","No"
"0x4202c5aa18c934b96bc4aedb3da4593c44076618","0.394661467","No"
"0x426d38e322fdded7031284f07caaa7d6dab83aee","1470.465842079","No"
"0x4297e08ee25a9eed190d4840c490bbf2332f22b0","0.007028843","No"
"0x42eaf8b6bbeac348908d7781a4b0ba1787fca1e4","21078.160546687","No"
"0x4307e28901f2c8010bf257f14ff5526d9c0e0ebc","92.632060432","No"
"0x431609225691b672a6570ac6db32d885cc40f0ba","468.555407534","No"
"0x432be6f0b96871857a4de5d95f94b1a7a8a94474","4326.311978904","No"
"0x432ff5cca84d98ebe68e85416b9a42dc5dd9fc23","82360.805686106","No"
"0x438abb8db93d6842dad49dbd45c25ea3f9363c4c","291.901703093","No"
"0x43ca65e6ce1844815b868438ec417186922d8a35","525.420298857","No"
"0x43de5df2fe637bd8fb149490d39aaf21c311d5a7","19600.86382324","No"
"0x442747e725d0e1d1fe46c3635f8e01253b6d1ec7","24879.248526552","No"
"0x448749280160d2126053330fa7a18f893943c455","0.208064698","No"
"0x454bb0ce73196c9e247d38b2effc487a631046b3","1280.219169661","No"
"0x459b3edb577cb0b25c6c9ae94510900b4a008931","0.078448524","No"
"0x45aee0c2d6cf993d532c55a60a5cf2833e7cd97a","0.023969224","No"
"0x45bc508822a92ba95a1371c743f785c574920069","9445.649880677","No"
"0x45e294132f31fe2060e2a1266a89a4596e9a19d9","1762.07991339","No"
"0x45f21b16088c13a58f930d0cc778470bf2c357b9","0.175446229","No"
"0x46c03ab9b8f5928e7ec3c12189d32057239130a5","9759.944142214","No"
"0x46ef376984edc12bdb7183022230b3e4f0964ab2","776.623521683","No"
"0x470c4462c67a3fab03901b81c0b96909f8330ca6","0.261343486","No"
"0x47333aeede1e13a244fd2f89be6687773926a7ef","3.8355E-05","No"
"0x4784703ce45fa56f22b34d671f62d8a3ed3c4cc4","2.353895623","No"
"0x483e3a490252f2fc883374934dcc942c81768235","2492.754394574","No"
"0x486a57e2ee35c71dd83e6236f5c82ceef36b65b1","1202.313130482","No"
"0x4887e82d029dc835b6ce43a6cf4602b9493fb508","0.055617737","No"
"0x48e5663138532ea3545d532628f1d481e515280d","1946.013135589","No"
"0x4968ceacb2075680e652dd6717819bf300df1c6e","3892.008514472","No"
"0x496eaea9eb42d489001b0478fff5e4821869c4ee","0.011793274","No"
"0x499ef7bf253ac266f990711ff900ac8bf8794dae","0.017036139","No"
"0x49a0ea542aa2864712e35e627f842b5e2239f0f9","0.291929436","No"
"0x49fcf8f63764c0d5ea6697cadb6f9bfc7fe44196","7230.309581784","No"
"0x4afda543a1f3d084b8d832055fcadbb9a4bcd416","5809.404033995","No"
"0x4ba42b8811d5d50930a8be400dcbf6db3264799b","0.020815937","No"
"0x4bb0153dd40b1ff187c445d57c319a6076e78811","441.56299507","No"
"0x4bb7fba588b4254536de4316e8fb346bbe275ecb","34938.578133117","No"
"0x4c509e5e15cf08e93cff1afb62f888b11e827e65","194.531791329","No"
"0x4cef35f2ec6d8f7a8cd3fdd26291221435135e74","651.35188835","No"
"0x4d088f393a5e5cd366d2250abf805ee144661757","0.073422543","No"
"0x4d4e8916d5a0e1a42059a43d37711da6aff03e2c","0.704197884","No"
"0x4d95ae656fd9dcebbff6d64e2a695fc7a6adc017","0.036625535","No"
"0x4de0b45ae609135b8c80010b962e67703e8375e8","340.550065188","No"
"0x4de35046cb74313b96378da3a4f2a5e08d5933d0","292153.678938779","No"
"0x4e00f511056608734d306f9ba663d4e5279b92aa","126.987212064","No"
"0x4e8988b327537c3b0cf2112b625eb4450a519503","0.001966874","No"
"0x4e9807c12860a3f4ac4c450330680a1d1946cb2b","3.688460791","No"
"0x4f2659d0b580fcb8cb335c16ce11b568fb19cab1","17154.46992528","No"
"0x4f3c65b2897b07873ded8ac04ec9393a0c33109a","5408.906626284","No"
"0x4f6c52b34387bf5aa3c32981b7502e72fe950890","124.748320343","No"
"0x4f7dbfe731f151608ed4c83123a15a8ef1ecd41d","1020.421636815","No"
"0x4ffeca8df2aee8c9927694b9bf80d53625a61dc5","1314.809216193","No"
"0x5085a7572cbb12b525c7c6faf8b835b8c167555e","3605.853196611","No"
"0x5091081516c8695dfa1bfde3d7b33480c2cb2fca","97.300005321","No"
"0x509b86a55fa3fdc55d459c0c5d230217c8975a2a","9000.108142686","No"
